,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
122,122,3,09/08/18,07:30:00 PM,Sat,Kentucky,27,@,(25) Florida,16,Ben Hill Griffin Stadium - Gainesville Florida
123,123,3,09/08/18,,Sat,(11) Louisiana State,31,,Southeastern Louisiana,0,Tiger Stadium - Baton Rouge Louisiana
124,124,3,09/08/18,07:00:00 PM,Sat,Louisiana Tech,54,,Southern,17,Joe Aillet Stadium - Ruston Louisiana
125,125,3,09/08/18,07:00:00 PM,Sat,Louisiana-Monroe,21,@,Southern Mississippi,20,M. M. Roberts Stadium - Hattiesburg Mississippi
126,126,3,09/08/18,07:00:00 PM,Sat,Louisville,31,,Indiana State,7,Cardinal Stadium - Louisville Kentucky
127,127,3,09/08/18,07:30:00 PM,Sat,Maine,31,@,Western Kentucky,28,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
128,128,3,09/08/18,06:30:00 PM,Sat,Marshall,32,,Eastern Kentucky,16,Joan C. Edwards Stadium - Huntington West Virginia
129,129,3,09/08/18,06:00:00 PM,Sat,Maryland,45,@,Bowling Green State,14,Doyt Perry Stadium - Bowling Green Ohio
130,130,3,09/08/18,06:00:00 PM,Sat,(22) Miami (FL),77,,Savannah State,0,Hard Rock Stadium - Miami Gardens Florida
131,131,3,09/08/18,12:00:00 PM,Sat,(21) Michigan,49,,Western Michigan,3,Michigan Stadium - Ann Arbor Michigan
132,132,3,09/08/18,07:00:00 PM,Sat,Middle Tennessee State,61,,Tennessee-Martin,37,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
133,133,3,09/08/18,07:30:00 PM,Sat,Minnesota,21,,Fresno State,14,TCF Bank Stadium - Minneapolis Minnesota
134,134,3,09/08/18,04:00:00 PM,Sat,Mississippi,76,,Southern Illinois,41,Vaught-Hemingway Stadium - Oxford Mississippi
135,135,3,09/08/18,12:00:00 PM,Sat,(18) Mississippi State,31,@,Kansas State,10,Bill Snyder Family Stadium - Manhattan Kansas
136,136,3,09/08/18,07:00:00 PM,Sat,Missouri,40,,Wyoming,13,Memorial Stadium/Faurot Field - Columbia Missouri
137,137,3,09/08/18,03:30:00 PM,Sat,Navy,22,,Memphis,21,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
138,138,3,09/08/18,09:00:00 PM,Sat,Nevada-Las Vegas,52,,Texas-El Paso,24,Sam Boyd Stadium - Las Vegas Nevada
139,139,3,09/08/18,12:30:00 PM,Sat,North Carolina State,41,,Georgia State,7,Carter-Finley Stadium - Raleigh North Carolina
140,140,3,09/08/18,07:30:00 PM,Sat,North Texas,58,,Incarnate Word,16,Apogee Stadium - Denton Texas
