"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"274","270","5","Sep 24, 2016","","Sat","South Alabama","41","","Non-Major","40",""
"275","271","5","Sep 24, 2016","","Sat","Southern Mississippi","34","@","Texas-El Paso","7",""
"276","272","5","Sep 24, 2016","","Sat","Stanford","22","@","UCLA","13",""
"277","273","5","Sep 24, 2016","","Sat","Syracuse","31","@","Connecticut","24",""
"278","274","5","Sep 24, 2016","","Sat","Temple","48","","Non-Major","20",""
"279","275","5","Sep 24, 2016","","Sat","Tennessee","38","","Florida","28",""
"280","276","5","Sep 24, 2016","","Sat","Texas A&M","45","","Arkansas","24",""
"281","277","5","Sep 24, 2016","","Sat","Troy","52","","New Mexico State","6",""
"282","278","5","Sep 24, 2016","","Sat","Tulane","41","","Louisiana","39",""
"283","279","5","Sep 24, 2016","","Sat","Tulsa","48","@","Fresno State","41","CAMP"
"284","280","5","Sep 24, 2016","","Sat","Vanderbilt","31","@","Western Kentucky","30","CBSSN"
"285","281","5","Sep 24, 2016","","Sat","Virginia","49","","Central Michigan","35",""
"286","282","5","Sep 24, 2016","","Sat","Virginia Tech","54","","East Carolina","17",""
"287","283","5","Sep 24, 2016","","Sat","Wake Forest","33","@","Indiana","28",""
"288","284","5","Sep 24, 2016","","Sat","Washington","35","@","Arizona","28",""
"289","285","5","Sep 24, 2016","","Sat","West Virginia","35","","Brigham Young","32",""
"290","286","5","Sep 24, 2016","","Sat","Non-Major","28","@","Northern Illinois","23",""
"291","287","5","Sep 24, 2016","","Sat","Western Michigan","49","","Georgia Southern","31",""
"292","288","5","Sep 24, 2016","","Sat","Wisconsin","30","@","Michigan State","6",""
"294","289","6","Sep 29, 2016","","Thu","Houston","42","","Connecticut","14","ESPN"
"295","290","6","Sep 29, 2016","","Thu","Texas Tech","55","","Kansas","19","FS1"
"296","291","6","Sep 30, 2016","","Fri","Brigham Young","55","","Toledo","53","ESPN2"
"297","292","6","Sep 30, 2016","","Fri","Washington","44","","Stanford","6","ESPN"
"298","293","6","Oct 1, 2016","","Sat","Air Force","28","","Navy","14","CBSSN"
"299","294","6","Oct 1, 2016","","Sat","Akron","31","@","Kent State","27",""
"300","295","6","Oct 1, 2016","","Sat","Alabama","34","","Kentucky","6",""
"301","296","6","Oct 1, 2016","","Sat","Appalachian State","17","","Georgia State","3",""
"302","297","6","Oct 1, 2016","","Sat","Arkansas","52","","Non-Major","10",""
"303","298","6","Oct 1, 2016","","Sat","Auburn","58","","Louisiana-Monroe","7",""
"304","299","6","Oct 1, 2016","","Sat","Baylor","45","@","Iowa State","42",""
"305","300","6","Oct 1, 2016","","Sat","Boise State","21","","Utah State","10",""
"306","301","6","Oct 1, 2016","","Sat","Boston College","35","","Buffalo","3",""
"307","302","6","Oct 1, 2016","","Sat","California","28","","Utah","23",""
"308","303","6","Oct 1, 2016","","Sat","Central Florida","47","@","East Carolina","29",""
"309","304","6","Oct 1, 2016","","Sat","Clemson","42","","Louisville","36",""
"310","305","6","Oct 1, 2016","","Sat","Colorado","47","","Oregon State","6",""
"311","306","6","Oct 1, 2016","","Sat","Eastern Michigan","28","@","Bowling Green State","25",""
"312","307","6","Oct 1, 2016","","Sat","Florida","13","@","Vanderbilt","6",""
"313","308","6","Oct 1, 2016","","Sat","Florida International","33","","Florida Atlantic","31",""
"314","309","6","Oct 1, 2016","","Sat","Hawaii","38","","Nevada","17",""
"315","310","6","Oct 1, 2016","","Sat","Indiana","24","","Michigan State","21","BTN"
"316","311","6","Oct 1, 2016","","Sat","Louisiana State","42","","Missouri","7",""
"317","312","6","Oct 1, 2016","","Sat","Louisiana Tech","28","","Texas-El Paso","7",""
"318","313","6","Oct 1, 2016","","Sat","Maryland","50","","Purdue","7",""
